id,date,department,severity,incident_text
105,2024-10-27,手術室,軽微,針刺し事故の報告が勤務交代後となった
106,2024-04-07,CCU,軽微,経口薬の粉砕可否確認が与薬直前まで行われていなかった
107,2023-12-13,内科病棟,軽微,手術室入室前の患者識別バンド確認で一部手順が省略された
108,2024-08-25,小児科,軽微,転棟時の情報提供書の記載漏れがあり追記した
109,2024-10-08,外科病棟,軽微,HD 患者のドライウェイト変更指示が前勤務帯で反映されなかった
110,2023-02-02,精神科病棟,軽微,手術部位マーキングが術前最終確認で薄く再マーキングした
111,2023-10-13,耳鼻咽喉科,軽微,シリンジポンプのアラームへの初動が 3 分遅れた
112,2025-08-15,呼吸器内科,軽微,手術器械のカウント確認で 1 度数え直しが発生
113,2025-03-14,リハビリ室,中等,胃管挿入後の位置確認が聴診のみで X 線確認が省略された
114,2023-04-07,CCU,中等,CT 造影剤のアレルギー歴確認が検査直前に見落とされそうになった
115,2024-03-09,検査部,軽微,医師の指示が電子カルテに反映されるのが翌日となった
116,2023-02-25,耳鼻咽喉科,中等,糖尿病食のカロリー設定が一時的に標準食となっていた
117,2023-04-11,外科病棟,軽微,採血管の順番を誤ったが検査結果に影響なし
118,2025-03-30,CCU,軽微,胃管挿入後の位置確認が聴診のみで X 線確認が省略された
119,2024-07-03,薬剤部,軽微,カテーテル抜去時の圧迫時間が通常より短かった
120,2023-10-13,薬剤部,軽微,経管栄養施行中の頭位挙上が一時的に不十分だった
121,2023-03-19,薬剤部,中等,糖尿病患者の食前血糖測定が一度抜けた
122,2024-07-17,CCU,軽微,人工呼吸器のアラームへの初動が 1 分遅れた
123,2025-08-06,麻酔科,中等,採血時に駆血帯を 2 分以上巻いたまま放置した
124,2024-02-21,リハビリ室,軽微,病棟間の患者移送時にベッド IV ライン固定が不十分だった
125,2024-02-15,外科病棟,軽微,救急搬送患者への シタグリプチン の投与量誤りを準備段階で発見し再確認した
126,2025-08-06,泌尿器科,中等,術後覚醒時に酸素マスクの装着が一時的に外れた
127,2024-03-09,眼科,重大,小児患者の体重換算投与量の二重確認が省略された
128,2024-07-23,耳鼻咽喉科,中等,ドレーンの排液量を 2 時間分まとめて記録していた
129,2023-07-14,脳神経外科,軽微,点滴残量の確認が時間通り行われず予定より 47 分超過した
130,2025-01-23,循環器内科,軽微,血液培養のボトル数が指示と異なり追加採取した
131,2023-02-28,外科病棟,軽微,感染性廃棄物の分別が一部で不適切だった
132,2025-07-30,内視鏡室,軽微,夜間のラウンド予定時刻が 30 分遅れた
133,2024-06-04,ICU,中等,経口薬の粉砕可否確認が与薬直前まで行われていなかった
134,2024-09-01,ICU,中等,手術部位マーキングが術前最終確認で薄く再マーキングした
135,2024-02-18,CCU,重大,心電図モニターの日常点検記録が 1 日抜けていた
136,2024-08-15,血液内科,軽微,オピオイドの向精神薬管理簿記入が時刻抜けで後から追記
137,2024-03-05,耳鼻咽喉科,軽微,針刺し事故の報告が勤務交代後となった
138,2023-11-20,整形外科,軽微,病歴記録の修正履歴が一部残らなかった
139,2023-11-18,小児科,軽微,末梢静脈ルート確保時の血管損傷で再穿刺となった
140,2024-11-18,腫瘍内科,軽微,血液培養のボトル数が指示と異なり追加採取した
141,2025-08-09,麻酔科,重大,抗がん剤 と カルバペネム を取り違えて準備したが投与前に発見
142,2023-03-17,循環器内科,軽微,術中出血量の記録が集計時点で相違したため再確認
143,2023-05-16,手術室,中等,COPD 患者の酸素流量設定が申し送りと異なっていた
144,2023-09-08,手術室,軽微,車椅子移乗時のブレーキ確認が省略された
145,2025-05-03,循環器内科,中等,食事にアレルゲンが含まれるおそれがあり配膳前に交換
146,2025-04-06,腫瘍内科,軽微,輸血後副作用モニタリングの記録が 30 分後に集約
147,2025-04-16,循環器内科,軽微,アレルギー食品表記のダブルチェックが抜けた
148,2023-04-17,透析室,軽微,透析中の血圧低下に対する対応が 6 分遅れた
149,2025-01-30,循環器内科,軽微,術後覚醒時に酸素マスクの装着が一時的に外れた
150,2024-09-11,産婦人科,中等,吸引カテーテルのサイズが指示と異なるまま使用
151,2024-12-04,腫瘍内科,中等,感染性廃棄物の分別が一部で不適切だった
152,2024-05-15,整形外科,重大,インスリン自己注射の手技確認が退院前に十分行われなかった
153,2023-02-22,ICU,軽微,ヘパリンロックの濃度計算を確認後に是正
154,2023-10-11,外科病棟,軽微,外来予約の日時案内に誤りがあり電話で再案内
155,2023-05-14,腫瘍内科,重大,ガーゼ交換時の無菌操作の手順に一部逸脱があった
156,2025-01-29,薬剤部,軽微,転倒リスク評価表の更新が 1 週間滞っていた
157,2024-07-28,内科病棟,軽微,リハビリプログラムの負荷設定が患者体調と合わず途中で中止
158,2025-06-23,眼科,重大,人工呼吸器のアラームへの初動が 2 分遅れた
159,2024-08-19,循環器内科,軽微,末梢静脈ルート確保時の血管損傷で再穿刺となった
160,2023-02-12,脳神経外科,軽微,酸素流量の設定指示が口頭のみでカルテに反映されていなかった
161,2025-03-26,外科病棟,中等,吸引カテーテルのサイズが指示と異なるまま使用
162,2024-11-29,小児科,中等,CT 造影剤のアレルギー歴確認が検査直前に見落とされそうになった
163,2025-03-09,循環器内科,中等,夜間帯に易感染性患者がベッドから転落しセンサーマットで検知
164,2025-02-06,透析室,重大,手術部位マーキングが術前最終確認で薄く再マーキングした
165,2025-06-04,救急外来,重大,緊急検査のオーダー漏れが申し送り時に発覚
166,2023-07-01,検査部,軽微,DNAR 意思確認の記録場所が不統一だった
167,2025-08-04,精神科病棟,中等,夜間帯に高血圧患者がベッドから転落しセンサーマットで検知
168,2024-11-16,皮膚科,中等,麻酔導入時の薬剤準備で 2 アンプル多く準備された
169,2023-06-13,泌尿器科,中等,超音波検査室への患者移送が予約時刻に 11 分遅れた
170,2025-05-29,リハビリ室,軽微,抗がん剤調製時の密閉環境の確認手順が一部省略された
171,2025-07-29,薬剤部,軽微,放射線被曝防護エプロンの保管状態が不適切だった
172,2025-03-25,小児科,軽微,アレルギー食品表記のダブルチェックが抜けた
173,2023-07-17,放射線科,軽微,病棟間の患者移送時にベッド IV ライン固定が不十分だった
174,2023-03-13,麻酔科,軽微,糖尿病食のカロリー設定が一時的に標準食となっていた
175,2024-06-05,放射線科,中等,術前患者の体重測定が勤務交代時間帯に抜けた
176,2023-12-06,内科病棟,軽微,入院診療計画書の家族サインが後日となった
177,2023-09-25,救急外来,軽微,術中出血量の記録が集計時点で相違したため再確認
178,2023-02-09,CCU,軽微,MRI 検査前の金属チェックで持参品確認が直前となった
179,2025-01-16,泌尿器科,軽微,血圧計のカフサイズが患者サイズに合わず再測定
180,2024-06-07,CCU,軽微,除細動器のバッテリー残量確認が当直交代時に抜けた
181,2023-07-14,整形外科,軽微,透析患者の離床時に付き添いが不足した
182,2024-06-16,泌尿器科,軽微,家族への病状説明記録が口頭のみで文書化されていなかった
183,2025-08-20,皮膚科,中等,人工呼吸器の加温加湿器の水位確認が 6 時間以上抜けた
184,2024-03-17,ICU,重大,経管栄養剤の投与速度を誤って設定したが早期発見
185,2023-12-05,血液内科,軽微,インスリン自己注射の手技確認が退院前に十分行われなかった
186,2023-05-08,皮膚科,重大,感染性廃棄物の分別が一部で不適切だった
187,2023-11-13,耳鼻咽喉科,軽微,PD 患者が階段付近で転倒したが外傷なし
188,2024-07-21,透析室,軽微,輸血後副作用モニタリングの記録が 30 分後に集約
189,2025-08-20,放射線科,中等,HD 患者のドライウェイト変更指示が前勤務帯で反映されなかった
190,2023-06-28,血液内科,軽微,術前患者がベッドサイドで転倒したが外傷なし
191,2023-11-08,脳神経外科,軽微,小児患者の体重換算投与量の二重確認が省略された
192,2024-08-16,血液内科,中等,トイレ歩行時のナースコール押下が間に合わず転倒リスク発生
193,2024-03-28,薬剤部,中等,サージカルマスクの着用方法が一部職員で不適切だった
194,2024-04-29,泌尿器科,重大,リハビリ中に血圧測定を予定通り行えず後回しとなった
195,2025-01-23,救急外来,中等,術後覚醒時に酸素マスクの装着が一時的に外れた
196,2024-06-11,耳鼻咽喉科,軽微,異常値アラートに対する対応が勤務交代のため遅れた
197,2023-04-06,麻酔科,軽微,検体採取ラベルの貼り間違いに気づき採取し直した
198,2023-08-19,泌尿器科,軽微,夜勤帯に 高齢患者の点滴更新が遅れ翌朝に気づいた
199,2023-09-08,リハビリ室,軽微,外来予約の日時案内に誤りがあり電話で再案内
200,2023-03-16,薬剤部,軽微,輸血前の照合で血液型表示を読み上げ確認が一部省略された
201,2024-08-12,産婦人科,中等,凝固検体のシリカ管混入が疑われ再採血
202,2024-05-21,放射線科,軽微,嚥下機能低下患者の食事形態が指示より 1 段階硬めだった
203,2024-12-05,内科病棟,中等,病棟間の患者移送時にベッド IV ライン固定が不十分だった
204,2025-02-27,CCU,中等,創部ドレッシング交換の頻度指示を誤って解釈した
205,2023-06-30,泌尿器科,重大,針刺し事故の報告が勤務交代後となった
206,2024-04-20,外科病棟,軽微,経管栄養剤の投与速度を誤って設定したが早期発見
207,2025-05-18,CCU,軽微,在宅酸素療法導入時の患者教育で確認項目が不足
208,2024-04-20,耳鼻咽喉科,軽微,輸液ポンプの流量設定が誤って設定され数分後に是正
209,2024-09-01,精神科病棟,重大,透析終了後の止血時間が通常より短く追加圧迫
210,2024-03-29,血液内科,中等,透析終了後の止血時間が通常より短く追加圧迫
211,2024-05-31,検査部,中等,心電図モニターの電極外れで一時波形が欠落した
212,2024-04-01,救急外来,中等,ベッド柵の上げ忘れが朝巡回で発見された
213,2024-04-05,整形外科,中等,透析導入患者の体重測定が勤務交代時間帯に抜けた
214,2023-10-11,麻酔科,中等,接触感染予防策の個人防護具着用順序が逸脱した
215,2024-10-03,小児科,軽微,ロキソプロフェン の皮下注射部位ローテーションが記録されていなかった
216,2023-08-29,整形外科,軽微,透析終了後の止血時間が通常より短く追加圧迫
217,2024-07-07,ICU,軽微,手術室入室前の患者識別バンド確認で一部手順が省略された
218,2024-01-28,眼科,軽微,褥瘡処置の体位変換記録が 1 勤務帯抜けた
219,2023-03-07,検査部,軽微,吸引器のアラームへの初動が 2 分遅れた
220,2023-03-05,産婦人科,中等,凝固検体のシリカ管混入が疑われ再採血
221,2025-07-15,麻酔科,軽微,同姓患者が 2 名入院しており取り違えリスクがあったため ID バンド再確認を徹底
222,2023-01-21,麻酔科,軽微,手指衛生の確認表で記入漏れが散見された
223,2023-01-07,手術室,軽微,凝固検体のシリカ管混入が疑われ再採血
224,2025-05-23,検査部,軽微,DNAR 意思確認の記録場所が不統一だった
225,2024-07-13,泌尿器科,軽微,創部ドレッシング交換の頻度指示を誤って解釈した
226,2024-05-14,小児科,軽微,接触感染予防策の個人防護具着用順序が逸脱した
227,2023-01-30,放射線科,軽微,勤務交代時の申し送りで抗菌薬開始情報が抜けていた
228,2025-03-28,放射線科,中等,脳梗塞患者の体重測定が勤務交代時間帯に抜けた
229,2025-07-30,透析室,重大,C. difficile 感染疑い患者の隔離対応が初動で遅延
230,2023-01-28,放射線科,軽微,アレルギー食品表記のダブルチェックが抜けた
231,2023-01-28,ICU,軽微,中心静脈カテーテルの固定テープが緩み再固定した
232,2025-06-06,薬剤部,軽微,術中出血量の記録が集計時点で相違したため再確認
233,2024-01-24,精神科病棟,軽微,画像検査結果の所見伝達が主治医まで届くのに 1 日要した
234,2023-12-12,麻酔科,中等,手術室申し送り時に患者アレルギー情報が口頭のみだった
235,2025-02-09,検査部,軽微,オピオイドの向精神薬管理簿記入が時刻抜けで後から追記
236,2024-04-26,内科病棟,中等,ゾルピデム の禁忌併用薬の確認が処方時に不十分だった
237,2023-08-18,腫瘍内科,軽微,夜間のラウンド予定時刻が 30 分遅れた
238,2024-10-29,外科病棟,中等,バスキュラーアクセス部位の腫脹に気づき処置を追加
239,2023-09-11,産婦人科,中等,絶食指示が医師から口頭のみで伝達され朝食が配膳された
240,2023-06-06,小児科,軽微,輸血後副作用モニタリングの記録が 30 分後に集約
241,2023-04-28,呼吸器内科,重大,トイレ歩行時のナースコール押下が間に合わず転倒リスク発生
242,2024-12-17,整形外科,中等,採血時に駆血帯を 2 分以上巻いたまま放置した
243,2024-09-12,血液内科,重大,病歴記録の修正履歴が一部残らなかった
244,2023-04-28,麻酔科,中等,クラーク業務の記録集計に漏れがあり翌日訂正
245,2023-11-15,CCU,軽微,経管栄養施行中の頭位挙上が一時的に不十分だった
246,2023-11-16,呼吸器内科,中等,夜間のラウンド予定時刻が 30 分遅れた
247,2024-01-20,放射線科,重大,人工呼吸器の加温加湿器の水位確認が 4 時間以上抜けた
248,2024-08-29,眼科,中等,手術器械のカウント確認で 1 度数え直しが発生
249,2023-04-15,眼科,中等,インスリン自己注射の手技確認が退院前に十分行われなかった
250,2024-12-01,血液内科,中等,リハビリ中に血圧測定を予定通り行えず後回しとなった
251,2024-08-02,泌尿器科,軽微,C. difficile 感染疑い患者の隔離対応が初動で遅延
252,2024-03-14,耳鼻咽喉科,軽微,感染性廃棄物の分別が一部で不適切だった
253,2024-10-25,精神科病棟,軽微,離床センサーの電池切れで機能していなかった
254,2025-04-22,リハビリ室,軽微,夜間のラウンド予定時刻が 30 分遅れた
255,2024-01-06,腫瘍内科,中等,点滴スタンドの車輪固定が不十分で転倒リスクとなった
256,2024-12-25,透析室,軽微,医師の指示が電子カルテに反映されるのが翌日となった
257,2024-06-18,腫瘍内科,軽微,緊急検査のオーダー漏れが申し送り時に発覚
258,2025-07-30,循環器内科,中等,トイレ歩行時のナースコール押下が間に合わず転倒リスク発生
259,2024-03-22,皮膚科,軽微,画像検査結果の所見伝達が主治医まで届くのに 1 日要した
260,2025-05-22,小児科,中等,与薬時の 6R 確認のうち指示書の再確認が一部省略された
261,2023-10-13,薬剤部,軽微,トイレ歩行時のナースコール押下が間に合わず転倒リスク発生
262,2024-08-06,血液内科,中等,採血管の順番を誤ったが検査結果に影響なし
263,2023-01-30,リハビリ室,中等,カテーテル抜去時の圧迫時間が通常より短かった
264,2024-05-14,産婦人科,軽微,術中出血量の記録が集計時点で相違したため再確認
265,2023-12-15,整形外科,中等,同姓患者が 2 名入院しており取り違えリスクがあったため ID バンド再確認を徹底
266,2025-06-20,整形外科,軽微,針刺し事故の報告が勤務交代後となった
267,2025-08-28,産婦人科,軽微,家族への病状説明記録が口頭のみで文書化されていなかった
268,2024-02-21,リハビリ室,軽微,手術部位マーキングが術前最終確認で薄く再マーキングした
269,2024-12-08,リハビリ室,軽微,接触感染予防策の個人防護具着用順序が逸脱した
270,2024-04-03,泌尿器科,軽微,内視鏡検査前の絶食確認で前夜の服薬履歴が不明瞭
271,2023-08-15,放射線科,中等,検体採取ラベルの貼り間違いに気づき採取し直した
272,2024-11-10,呼吸器内科,軽微,心電図モニターの電極外れで一時波形が欠落した
273,2024-06-27,手術室,軽微,退院時処方の薬剤本数が処方箋と相違し薬剤師が修正
274,2024-07-17,精神科病棟,軽微,点滴スタンドの車輪固定が不十分で転倒リスクとなった
275,2023-10-05,脳神経外科,軽微,持参薬と院内処方薬の重複投与を服薬指導時に発見
276,2025-01-08,産婦人科,軽微,退院時処方の薬剤本数が処方箋と相違し薬剤師が修正
277,2024-07-02,麻酔科,中等,胃管挿入後の位置確認が聴診のみで X 線確認が省略された
278,2023-08-10,皮膚科,軽微,家族への病状説明記録が口頭のみで文書化されていなかった
279,2024-08-26,麻酔科,軽微,術後覚醒時に酸素マスクの装着が一時的に外れた
280,2023-04-13,産婦人科,軽微,検査オーダーの入力ミスで項目が 1 つ抜けていた
281,2023-07-03,脳神経外科,軽微,C. difficile 感染疑い患者の隔離対応が初動で遅延
282,2023-05-10,整形外科,軽微,鉄剤 の禁忌併用薬の確認が処方時に不十分だった
283,2023-10-27,眼科,重大,とろみ付き食事の指示が当日配膳時に徹底されていなかった
284,2025-06-08,麻酔科,軽微,心不全患者の in-out バランス記録が 4 時間抜けた
285,2023-01-13,呼吸器内科,軽微,手指衛生の確認表で記入漏れが散見された
286,2024-03-27,精神科病棟,軽微,シタグリプチン の禁忌併用薬の確認が処方時に不十分だった
287,2025-08-21,リハビリ室,軽微,経口薬の粉砕可否確認が与薬直前まで行われていなかった
288,2024-02-15,リハビリ室,軽微,輸血前の照合で血液型表示を読み上げ確認が一部省略された
289,2024-12-03,外科病棟,軽微,緊急検査のオーダー漏れが申し送り時に発覚
290,2024-07-30,脳神経外科,軽微,手術器械のカウント確認で 1 度数え直しが発生
291,2023-05-02,循環器内科,中等,血圧計のカフサイズが患者サイズに合わず再測定
292,2024-09-02,泌尿器科,軽微,産科での新生児沐浴時の湯温確認が手順通りでなかった
293,2024-06-19,放射線科,軽微,車椅子移乗時のブレーキ確認が省略された
294,2023-11-01,呼吸器内科,重大,検体採取ラベルの貼り間違いに気づき採取し直した
295,2024-08-05,血液内科,軽微,夜間のラウンド予定時刻が 30 分遅れた
296,2025-01-27,CCU,重大,吸引カテーテルのサイズが指示と異なるまま使用
297,2024-10-02,産婦人科,軽微,オピオイドの向精神薬管理簿記入が時刻抜けで後から追記
298,2023-06-10,小児科,軽微,メトトレキサート の皮下注射部位ローテーションが記録されていなかった
299,2023-01-03,検査部,軽微,血糖測定器の校正期限切れに気づかず測定した
300,2024-04-26,脳神経外科,軽微,術後覚醒時に酸素マスクの装着が一時的に外れた
301,2024-12-24,脳神経外科,中等,点滴スタンドの車輪固定が不十分で転倒リスクとなった
302,2023-03-14,耳鼻咽喉科,軽微,術中出血量の記録が集計時点で相違したため再確認
303,2025-03-17,泌尿器科,軽微,アレルギー食品表記のダブルチェックが抜けた
304,2025-04-03,産婦人科,軽微,心電図モニターのアラームへの初動が 3 分遅れた
305,2023-06-02,整形外科,中等,インスリン の皮下注射部位ローテーションが記録されていなかった
306,2023-06-19,泌尿器科,軽微,退院時処方の薬剤本数が処方箋と相違し薬剤師が修正
307,2025-04-24,呼吸器内科,重大,車椅子移乗時のブレーキ確認が省略された
308,2023-05-08,薬剤部,中等,同姓患者が 2 名入院しており取り違えリスクがあったため ID バンド再確認を徹底
309,2024-02-17,整形外科,軽微,隔離室入室時のガウンテクニックで手順が省略された
310,2024-03-24,ICU,軽微,透析中の血圧低下に対する対応が 11 分遅れた
311,2025-01-22,精神科病棟,軽微,夜勤帯に 小児患者の点滴更新が遅れ翌朝に気づいた
312,2023-08-23,耳鼻咽喉科,中等,除細動器のバッテリー残量確認が当直交代時に抜けた
313,2024-08-24,内科病棟,重大,勤務交代時の申し送りで抗菌薬開始情報が抜けていた
314,2025-04-21,整形外科,軽微,病棟内の救急カート内の物品定数チェックで 1 項目不足
315,2025-02-13,救急外来,軽微,嚥下機能低下患者の食事形態が指示より 1 段階硬めだった
316,2024-03-28,整形外科,軽微,パルスオキシメーターのプローブ装着位置がずれ測定値低下
